Ticker,Name,Sector,Industry
360.AX,Life360,Information Technology,Information Technology
4DX.AX,4DMedical,Healthcare,Healthcare
A2M.AX,a2 Milk Company,Consumer Staples,Consumer Staples
AAI.AX,Alcoa,Materials,Materials
AFI.AX,Australian Foundation Investment Company,Financials,Financials
AGL.AX,AGL Energy,Utilities,Utilities
AIA.AX,Auckland Airport,Industrials,Industrials
ALD.AX,Ampol,Energy,Energy
ALK.AX,Alkane Resources,Materials,Materials
ALL.AX,Aristocrat Leisure,Consumer Discretionary,Consumer Discretionary
ALQ.AX,ALS,Industrials,Industrials
ALX.AX,Atlas Arteria,Industrials,Industrials
AMC.AX,Amcor,Materials,Materials
AMP.AX,AMP,Financials,Financials
ANN.AX,Ansell,Healthcare,Healthcare
ANZ.AX,Australia & New Zealand Banking Group,Financials,Financials
APA.AX,APA Group,Utilities,Utilities
APE.AX,Eagers Automotive,Consumer Discretionary,Consumer Discretionary
ARB.AX,ARB Corporation,Consumer Discretionary,Consumer Discretionary
ARG.AX,Argo Investments,Financials,Financials
ASB.AX,Austal,Industrials,Industrials
ASK.AX,Abacus Storage King,Real Estate,Real Estate
ASX.AX,ASX,Financials,Financials
AUB.AX,AUB Group,Financials,Financials
AZJ.AX,Aurizon,Industrials,Industrials
BEN.AX,Bendigo & Adelaide Bank,Financials,Financials
BFL.AX,BSP Financial Group,Financials,Financials
BGA.AX,Bega Cheese,Consumer Staples,Consumer Staples
BGL.AX,Bellevue Gold,Materials,Materials
BHP.AX,BHP,Materials,Materials
BOQ.AX,Bank of Queensland,Financials,Financials
BPT.AX,Beach Energy,Energy,Energy
BRG.AX,Breville Group,Consumer Discretionary,Consumer Discretionary
BSL.AX,BlueScope,Materials,Materials
BWP.AX,BWP Trust,Real Estate,Real Estate
BXB.AX,Brambles,Industrials,Industrials
CAR.AX,CAR Group,Communication Services,Communication Services
CBA.AX,Commonwealth Bank,Financials,Financials
CDA.AX,Codan,Information Technology,Information Technology
CEN.AX,Contact Energy,Utilities,Utilities
CGF.AX,Challenger,Financials,Financials
CHC.AX,Charter Hall,Real Estate,Real Estate
CIA.AX,Champion Iron,Materials,Materials
CIP.AX,Centuria Industrial REIT,Real Estate,Real Estate
CLW.AX,Charter Hall Long WALE REIT,Real Estate,Real Estate
CMM.AX,Capricorn Metals,Materials,Materials
CNU.AX,Chorus,Communication Services,Communication Services
COH.AX,Cochlear,Healthcare,Healthcare
COL.AX,Coles Group,Consumer Staples,Consumer Staples
CPU.AX,Computershare,Information Technology,Information Technology
CQR.AX,Charter Hall Retail REIT,Real Estate,Real Estate
CSC.AX,Capstone Copper,Materials,Materials
CSL.AX,CSL,Healthcare,Healthcare
CTD.AX,Corporate Travel Management,Consumer Discretionary,Consumer Discretionary
CWY.AX,Cleanaway,Industrials,Industrials
CYL.AX,Catalyst Metals,Materials,Materials
DBI.AX,Dalrymple Bay Infrastructure,Industrials,Industrials
DNL.AX,Dyno Nobel,Materials,Materials
DOW.AX,Downer Group,Industrials,Industrials
DRO.AX,Droneshield,Industrials,Industrials
DRR.AX,Deterra Royalties,Materials,Materials
DXS.AX,Dexus,Real Estate,Real Estate
DYL.AX,Deep Yellow,Energy,Energy
EBO.AX,EBOS Group,Healthcare,Healthcare
EDV.AX,Endeavour Group,Consumer Staples,Consumer Staples
EMR.AX,Emerald Resources,Materials,Materials
EOS.AX,Electro Optic Systems Holdings,Industrials,Industrials
EVN.AX,Evolution Mining,Materials,Materials
EVT.AX,EVT,Communication Services,Communication Services
FBU.AX,Fletcher Building,Industrials,Industrials
FLT.AX,Flight Centre Travel Group,Consumer Discretionary,Consumer Discretionary
FMG.AX,Fortescue,Materials,Materials
FPH.AX,Fisher & Paykel Healthcare,Healthcare,Healthcare
FRW.AX,Freightways Group,Industrials,Industrials
GDG.AX,Generation Development Group,Financials,Financials
GGP.AX,Greatland Resources,Materials,Materials
GMD.AX,Genesis Minerals,Materials,Materials
GMG.AX,Goodman Group,Real Estate,Real Estate
GNE.AX,Genesis Energy,Utilities,Utilities
GPT.AX,GPT Group,Real Estate,Real Estate
GQG.AX,GQG Partners,Financials,Financials
HDN.AX,HomeCo Daily Needs REIT,Real Estate,Real Estate
HUB.AX,HUB24,Financials,Financials
HVN.AX,Harvey Norman,Consumer Discretionary,Consumer Discretionary
IAG.AX,Insurance Australia Group,Financials,Financials
IFL.AX,Insignia Financial,Financials,Financials
IFT.AX,Infratil,Financials,Financials
IGO.AX,IGO,Materials,Materials
ILU.AX,Iluka Resources,Materials,Materials
IMD.AX,IMDEX,Materials,Materials
JBH.AX,JB Hi-Fi,Consumer Discretionary,Consumer Discretionary
JHX.AX,James Hardie,Materials,Materials
L1G.AX,L1 Group,Financials,Financials
LLC.AX,Lendlease,Real Estate,Real Estate
LNW.AX,Light & Wonder,Consumer Discretionary,Consumer Discretionary
LOV.AX,Lovisa,Consumer Discretionary,Consumer Discretionary
LSF.AX,L1 Long Short Fund,Financials,Financials
LTR.AX,Liontown Resources,Materials,Materials
LYC.AX,Lynas Rare Earths,Materials,Materials
MCY.AX,Mercury NZ,Utilities,Utilities
MEZ.AX,Meridian Energy,Utilities,Utilities
MFF.AX,MFF Capital Investments,Financials,Financials
MFG.AX,Magellan Financial Group,Financials,Financials
MGR.AX,Mirvac,Real Estate,Real Estate
MIN.AX,Mineral Resources,Materials,Materials
MND.AX,Monadelphous Group,Industrials,Industrials
MPL.AX,Medibank,Financials,Financials
MQG.AX,Macquarie Group,Financials,Financials
MSB.AX,Mesoblast,Healthcare,Healthcare
MTS.AX,Metcash,Consumer Staples,Consumer Staples
MXT.AX,Metrics Master Income Trust,Financials,Financials
NAB.AX,National Australia Bank,Financials,Financials
NEM.AX,Newmont,Materials,Materials
NHC.AX,New Hope,Energy,Energy
NHF.AX,Nib,Financials,Financials
NIC.AX,Nickel Industries,Materials,Materials
NSR.AX,National Storage,Real Estate,Real Estate
NST.AX,Northern Star Resources,Materials,Materials
NWH.AX,NRW Holdings,Industrials,Industrials
NWL.AX,Netwealth Group,Financials,Financials
NWS.AX,News Corp Class B,Communication Services,Communication Services
NXG.AX,Nexgen Energy,Energy,Energy
NXT.AX,NextDC,Information Technology,Information Technology
OBM.AX,Ora Banda Mining,Materials,Materials
ORA.AX,Orora,Materials,Materials
ORG.AX,Origin Energy,Utilities,Utilities
ORI.AX,Orica,Materials,Materials
PDI.AX,Predictive Discovery,Materials,Materials
PDN.AX,Paladin Energy,Energy,Energy
PLS.AX,PLS Group,Materials,Materials
PME.AX,Pro Medicus,Healthcare,Healthcare
PMV.AX,Premier Investments,Consumer Discretionary,Consumer Discretionary
PNI.AX,Pinnacle Investment Management,Financials,Financials
PPT.AX,Perpetual,Financials,Financials
PRN.AX,Perenti,Materials,Materials
PRU.AX,Perseus Mining,Materials,Materials
PXA.AX,Pexa Group,Real Estate,Real Estate
QAN.AX,Qantas,Industrials,Industrials
QBE.AX,QBE Insurance,Financials,Financials
QUB.AX,Qube Holdings,Industrials,Industrials
RDX.AX,Redox,Industrials,Industrials
REA.AX,REA Group,Communication Services,Communication Services
REG.AX,Regis Healthcare,Healthcare,Healthcare
REH.AX,Reece Group,Industrials,Industrials
RGN.AX,Region Group,Real Estate,Real Estate
RHC.AX,Ramsay Health Care,Healthcare,Healthcare
RIO.AX,Rio Tinto,Materials,Materials
RMD.AX,ResMed,Healthcare,Healthcare
RMS.AX,Ramelius Resources,Materials,Materials
RRL.AX,Regis Resources,Materials,Materials
RSG.AX,Resolute Mining,Materials,Materials
RWC.AX,Reliance Worldwide Corporation,Industrials,Industrials
RYM.AX,Ryman Healthcare,Healthcare,Healthcare
S32.AX,South32,Materials,Materials
SCG.AX,Scentre Group,Real Estate,Real Estate
SDF.AX,Steadfast Group,Financials,Financials
SEK.AX,Seek,Communication Services,Communication Services
SFR.AX,Sandfire Resources,Materials,Materials
SGH.AX,SGH,Industrials,Industrials
SGM.AX,Sims Metal,Materials,Materials
SGP.AX,Stockland,Real Estate,Real Estate
SHL.AX,Sonic Healthcare,Healthcare,Healthcare
SIG.AX,Sigma Healthcare,Healthcare,Healthcare
SMR.AX,Stanmore Resources,Materials,Materials
SNZ.AX,Summerset Group Holdings,Healthcare,Healthcare
SOL.AX,Soul Patts,Financials,Financials
SPK.AX,Spark New Zealand,Communication Services,Communication Services
STO.AX,Santos,Energy,Energy
SUL.AX,Super Retail Group,Consumer Discretionary,Consumer Discretionary
SUN.AX,Suncorp,Financials,Financials
TAH.AX,Tabcorp,Consumer Discretionary,Consumer Discretionary
TCL.AX,Transurban,Industrials,Industrials
TLC.AX,The Lottery Corporation,Consumer Discretionary,Consumer Discretionary
TLS.AX,Telstra,Communication Services,Communication Services
TLX.AX,Telix Pharmaceuticals,Healthcare,Healthcare
TNE.AX,TechnologyOne,Information Technology,Information Technology
TPG.AX,TPG Telecom,Communication Services,Communication Services
TUA.AX,Tuas,Communication Services,Communication Services
TWE.AX,Treasury Wine Estates,Consumer Staples,Consumer Staples
VAU.AX,Vault Minerals,Materials,Materials
VCX.AX,Vicinity Centres,Real Estate,Real Estate
VEA.AX,Viva Energy,Energy,Energy
VGN.AX,Virgin Australia Holdings,Industrials,Industrials
VNT.AX,Ventia Services Group,Industrials,Industrials
WAF.AX,West African Resources,Materials,Materials
WAM.AX,WAM Capital,Financials,Financials
WBC.AX,Westpac,Financials,Financials
WDS.AX,Woodside Energy Group,Energy,Energy
WES.AX,Wesfarmers,Consumer Discretionary,Consumer Discretionary
WGX.AX,Westgold Resources,Materials,Materials
WHC.AX,Whitehaven Coal,Energy,Energy
WLE.AX,WAM Leaders,Financials,Financials
WOR.AX,Worley,Energy,Energy
WOW.AX,Woolworths Group,Consumer Staples,Consumer Staples
WTC.AX,Wisetech Global,Information Technology,Information Technology
XRO.AX,Xero,Information Technology,Information Technology
XYX.AX,"Block, Inc.",Financials,Financials
YAN.AX,Yancoal Australia,Materials,Materials
ZIM.AX,Zimplats Holdings,Materials,Materials
ZIP.AX,Zip,Financials,Financials
