Ticker,Name,Sector,Industry
0001.HK,CK Hutchison Holdings Limited,Commerce & Industry,Commerce & Industry
0002.HK,CLP Holdings Limited,Utilities,Utilities
0003.HK,Hong Kong and China Gas Company Limited,Utilities,Utilities
0005.HK,HSBC Holdings plc,Finance,Finance
0006.HK,Power Assets Holdings Limited,Utilities,Utilities
0012.HK,Henderson Land Development Company Limited,Properties,Properties
0016.HK,Sun Hung Kai Properties Limited,Properties,Properties
0027.HK,Galaxy Entertainment Group Ltd.,Commerce & Industry,Commerce & Industry
0066.HK,MTR Corporation Ltd,Commerce & Industry,Commerce & Industry
0101.HK,Hang Lung Properties Limited,Properties,Properties
0175.HK,Geely Auto,Commerce & Industry,Commerce & Industry
0241.HK,Alibaba Health,Commerce & Industry,Commerce & Industry
0267.HK,CITIC Limited,Commerce & Industry,Commerce & Industry
0285.HK,BYD Electronics,Commerce & Industry,Commerce & Industry
0288.HK,WH Group,Commerce & Industry,Commerce & Industry
0291.HK,China Resources Beer,Commerce & Industry,Commerce & Industry
0300.HK,Midea Group,Commerce & Industry,Commerce & Industry
0316.HK,Orient Overseas (International) Limited,Commerce & Industry,Commerce & Industry
0322.HK,Tingyi,Commerce & Industry,Commerce & Industry
0386.HK,Sinopec Corp,Commerce & Industry,Commerce & Industry
0388.HK,HKEx Limited,Finance,Finance
0669.HK,Techtronic Industries,Commerce & Industry,Commerce & Industry
0688.HK,China Overseas Land & Investment Limited,Properties,Properties
0700.HK,Tencent Holdings Limited,Commerce & Industry,Commerce & Industry
0762.HK,China Unicom,Commerce & Industry,Commerce & Industry
0823.HK,Link REIT,Properties,Properties
0836.HK,China Resources Power,Utilities,Utilities
0857.HK,PetroChina Company Limited,Commerce & Industry,Commerce & Industry
0868.HK,Xinyi Glass,Commerce & Industry,Commerce & Industry
0881.HK,Zhongsheng Group,Commerce & Industry,Commerce & Industry
0883.HK,CNOOC Limited,Commerce & Industry,Commerce & Industry
0939.HK,China Construction Bank,Finance,Finance
0941.HK,China Mobile Ltd,Commerce & Industry,Commerce & Industry
0960.HK,Longfor Properties,Properties,Properties
0968.HK,Xinyi Solar,Commerce & Industry,Commerce & Industry
0981.HK,Semiconductor Manufacturing International Corporation,Commerce & Industry,Commerce & Industry
0992.HK,Lenovo,Commerce & Industry,Commerce & Industry
1024.HK,Kuaishou,Commerce & Industry,Commerce & Industry
1038.HK,Cheung Kong Infrastructure Holdings Limited,Utilities,Utilities
1044.HK,Hengan International Group Co. Ltd,Commerce & Industry,Commerce & Industry
1088.HK,China Shenhua Energy,Commerce & Industry,Commerce & Industry
1093.HK,CSPC Pharmaceutical Group,Commerce & Industry,Commerce & Industry
1099.HK,Sinopharm Group,Commerce & Industry,Commerce & Industry
1109.HK,China Resources Land Limited,Properties,Properties
1113.HK,CK Asset Holdings,Properties,Properties
1177.HK,Sino Biopharm,Commerce & Industry,Commerce & Industry
1209.HK,China Resources Mixc Lifestyle,Properties,Properties
1211.HK,BYD Company,Commerce & Industry,Commerce & Industry
1299.HK,AIA Group Limited,Finance,Finance
1378.HK,China Hongqiao Group,Commerce & Industry,Commerce & Industry
1398.HK,Industrial and Commercial Bank of China,Finance,Finance
1810.HK,Xiaomi,Commerce & Industry,Commerce & Industry
1876.HK,Budweiser Brewing Company APAC,Commerce & Industry,Commerce & Industry
1928.HK,Sands China,Commerce & Industry,Commerce & Industry
1929.HK,Chow Tai Fook,Commerce & Industry,Commerce & Industry
1997.HK,Wharf Real Estate Investment Company Limited,Properties,Properties
2015.HK,Li Auto,Commerce & Industry,Commerce & Industry
2020.HK,Anta Sports,Commerce & Industry,Commerce & Industry
2057.HK,ZTO Express,Commerce & Industry,Commerce & Industry
2269.HK,WuXi Biologics,Commerce & Industry,Commerce & Industry
2313.HK,Shenzhou International,Commerce & Industry,Commerce & Industry
2318.HK,Ping An Insurance,Finance,Finance
2319.HK,Mengniu Dairy,Commerce & Industry,Commerce & Industry
2331.HK,Li-Ning,Commerce & Industry,Commerce & Industry
2359.HK,WuXi AppTec,Commerce & Industry,Commerce & Industry
2382.HK,Sunny Optical,Commerce & Industry,Commerce & Industry
2388.HK,BOC Hong Kong (Holdings) Ltd,Finance,Finance
2618.HK,JD Logistics,Commerce & Industry,Commerce & Industry
2628.HK,China Life,Finance,Finance
2688.HK,ENN Energy,Utilities,Utilities
2899.HK,Zijin Mining,Commerce & Industry,Commerce & Industry
3690.HK,Meituan,Commerce & Industry,Commerce & Industry
3692.HK,Hansoh Pharmaceutical Group,Commerce & Industry,Commerce & Industry
3968.HK,China Merchants Bank,Finance,Finance
3988.HK,Bank of China Ltd,Finance,Finance
6618.HK,JD Health,Commerce & Industry,Commerce & Industry
6690.HK,Haier,Commerce & Industry,Commerce & Industry
6862.HK,Haidilao,Commerce & Industry,Commerce & Industry
9618.HK,JD.com,Commerce & Industry,Commerce & Industry
9633.HK,Nongfu Spring,Commerce & Industry,Commerce & Industry
9888.HK,Baidu,Commerce & Industry,Commerce & Industry
9961.HK,Trip.com Group,Commerce & Industry,Commerce & Industry
9988.HK,Alibaba Group,Commerce & Industry,Commerce & Industry
9992.HK,Pop Mart,Commerce & Industry,Commerce & Industry
9999.HK,NetEase,Commerce & Industry,Commerce & Industry
