Ticker,Name,Sector,Industry
ABEV3.SA,ABEV3.SA,undefined,undefined
ALPA4.SA,ALPA4.SA,undefined,undefined
ARZZ3.SA,ARZZ3.SA,undefined,undefined
B3SA3.SA,B3SA3.SA,undefined,undefined
BBAS3.SA,BBAS3.SA,undefined,undefined
BBDC4.SA,BBDC4.SA,undefined,undefined
BBSE3.SA,BBSE3.SA,undefined,undefined
BEEF3.SA,BEEF3.SA,undefined,undefined
BPAC11.SA,BPAC11.SA,undefined,undefined
BRAP4.SA,BRAP4.SA,undefined,undefined
CMIG4.SA,CMIG4.SA,undefined,undefined
CPLE6.SA,CPLE6.SA,undefined,undefined
CSAN3.SA,CSAN3.SA,undefined,undefined
CSNA3.SA,CSNA3.SA,undefined,undefined
CYRE3.SA,CYRE3.SA,undefined,undefined
DIRR3.SA,DIRR3.SA,undefined,undefined
EGIE3.SA,EGIE3.SA,undefined,undefined
ELET3.SA,ELET3.SA,undefined,undefined
EMBR3.SA,EMBR3.SA,undefined,undefined
ENGI11.SA,ENGI11.SA,undefined,undefined
EQTL3.SA,EQTL3.SA,undefined,undefined
EZTC3.SA,EZTC3.SA,undefined,undefined
FLRY3.SA,FLRY3.SA,undefined,undefined
GFSA3.SA,GFSA3.SA,undefined,undefined
GGBR4.SA,GGBR4.SA,undefined,undefined
HAPV3.SA,HAPV3.SA,undefined,undefined
IRBR3.SA,IRBR3.SA,undefined,undefined
ITUB4.SA,ITUB4.SA,undefined,undefined
JBSS3.SA,JBSS3.SA,undefined,undefined
JHSF3.SA,JHSF3.SA,undefined,undefined
LREN3.SA,LREN3.SA,undefined,undefined
MDIA3.SA,MDIA3.SA,undefined,undefined
MRVE3.SA,MRVE3.SA,undefined,undefined
MULT3.SA,MULT3.SA,undefined,undefined
NTCO3.SA,NTCO3.SA,undefined,undefined
PETR4.SA,PETR4.SA,undefined,undefined
PRIO3.SA,PRIO3.SA,undefined,undefined
QUAL3.SA,QUAL3.SA,undefined,undefined
RDOR3.SA,RDOR3.SA,undefined,undefined
RENT3.SA,RENT3.SA,undefined,undefined
SAPR11.SA,SAPR11.SA,undefined,undefined
SBSP3.SA,SBSP3.SA,undefined,undefined
SULA11.SA,SULA11.SA,undefined,undefined
SUZB3.SA,SUZB3.SA,undefined,undefined
TAEE11.SA,TAEE11.SA,undefined,undefined
TIMS3.SA,TIMS3.SA,undefined,undefined
USIM5.SA,USIM5.SA,undefined,undefined
VALE3.SA,VALE3.SA,undefined,undefined
VIVT3.SA,VIVT3.SA,undefined,undefined
WEGE3.SA,WEGE3.SA,undefined,undefined
