Ticker,Name,Sector,Industry
ABG.JO,Absa Group Limited,Financial Services,Banks - Regional
AGL.JO,Anglo American plc,Basic Materials,Other Industrial Metals & Mining
AMS.JO,AMS.JO,undefined,undefined
ANG.JO,AngloGold Ashanti plc,Basic Materials,Gold
APN.JO,Aspen Pharmacare Holdings Limited,Healthcare,Drug Manufacturers - Specialty & Generic
BAW.JO,BAW.JO,undefined,undefined
BHP.JO,BHP.JO,undefined,undefined
BID.JO,Bid Corporation Limited,Consumer Defensive,Food Distribution
BTI.JO,British American Tobacco p.l.c.,Consumer Defensive,Tobacco
CFR.JO,Compagnie Financière Richemont SA,Consumer Cyclical,Luxury Goods
CLS.JO,Clicks Group Limited,Healthcare,Pharmaceutical Retailers
CPI.JO,Capitec Bank Holdings Limited,Financial Services,Banks - Regional
DSY.JO,Discovery Limited,Financial Services,Insurance - Life
EXX.JO,Exxaro Resources Limited,Energy,Thermal Coal
FSR.JO,FirstRand Limited,Financial Services,Banks - Diversified
GFI.JO,Gold Fields Limited,Basic Materials,Gold
GLN.JO,Glencore plc,Basic Materials,Other Industrial Metals & Mining
GRT.JO,Growthpoint Properties Limited,Real Estate,REIT - Diversified
HAR.JO,Harmony Gold Mining Company Limited,Basic Materials,Gold
INL.JO,Investec Group,Financial Services,Banks - Regional
INP.JO,Investec Group,Financial Services,Capital Markets
LHC.JO,Life Healthcare Group Holdings Limited,Healthcare,Medical Care Facilities
MCG.JO,MCG.JO,undefined,undefined
MNP.JO,Mondi plc,Basic Materials,Paper & Paper Products
MRP.JO,Mr Price Group Limited,Consumer Cyclical,Apparel Retail
MTN.JO,MTN Group Limited,Communication Services,Telecom Services
NED.JO,Nedbank Group Limited,Financial Services,Banks - Regional
NPH.JO,Northam Platinum Holdings Limited,Basic Materials,Other Precious Metals & Mining
NPN.JO,Naspers Limited,Consumer Cyclical,Internet Retail
OMU.JO,Old Mutual Limited,Financial Services,Financial Conglomerates
REM.JO,Remgro Limited,Financial Services,Asset Management
SHP.JO,Shoprite Holdings Ltd,Consumer Cyclical,Department Stores
SLM.JO,Sanlam Limited,Financial Services,Insurance - Life
SNT.JO,Santam Ltd,Financial Services,Insurance - Specialty
SOL.JO,Sasol Limited,Basic Materials,Specialty Chemicals
SPP.JO,The SPAR Group Ltd,Consumer Defensive,Food Distribution
SSL.JO,SSL.JO,undefined,undefined
TFG.JO,The Foschini Group Limited,Consumer Cyclical,Department Stores
VOD.JO,Vodacom Group Limited,Communication Services,Telecom Services
WHL.JO,Woolworths Holdings Limited,Consumer Cyclical,Department Stores
