Ticker,Name,Sector,Industry
A,"Agilent Technologies, Inc.",Health Care,Biotechnology
AA,Alcoa Corporation,Materials,Metals & Mining
AAC,Ares Acquisition Corporation,Financials,Diversified Financial Services
AAIC,Arlington Asset Investment Corp.,Real Estate,Equity Real Estate Investment Trusts (REITs)
AAIC-PB,Arlington Asset Investment Corp.,Real Estate,Equity Real Estate Investment Trusts (REITs)
AAIC-PC,Arlington Asset Investment Corp.,Real Estate,Equity Real Estate Investment Trusts (REITs)
AAN,"The Aaron's Company, Inc.",Consumer Discretionary,Specialty Retail
AAP,"Advance Auto Parts, Inc.",Consumer Discretionary,Specialty Retail
AAQC-UN,Accelerate Acquisition Corp.,Financials,Diversified Financial Services
AAT,"American Assets Trust, Inc.",Real Estate,Equity Real Estate Investment Trusts (REITs)
AB,AllianceBernstein Holding L.P.,Financials,Capital Markets
ABB,ABB Ltd,Industrials,Electrical Equipment
ABBV,AbbVie Inc.,Health Care,Pharmaceuticals
ABC,AmerisourceBergen Corporation,Health Care,Health Care Providers & Services
ABEV,Ambev S.A.,Consumer Staples,Beverages
ABG,"Asbury Automotive Group, Inc.",Consumer Discretionary,Automobiles
ABM,ABM Industries Incorporated,Industrials,Professional Services
ABR,"Arbor Realty Trust, Inc.",Real Estate,Equity Real Estate Investment Trusts (REITs)
ABR-PA,"Arbor Realty Trust, Inc.",Real Estate,Equity Real Estate Investment Trusts (REITs)
ABR-PB,"Arbor Realty Trust, Inc.",Real Estate,Equity Real Estate Investment Trusts (REITs)
ABR-PC,"Arbor Realty Trust, Inc.",Real Estate,Equity Real Estate Investment Trusts (REITs)
ABT,Abbott Laboratories,Health Care,Health Care Technology
AC,"Associated Capital Group, Inc.",Financials,Capital Markets
ACA,"Arcosa, Inc.",Industrials,Transportation Infrastructure
ACB,Aurora Cannabis Inc.,Health Care,Pharmaceuticals
ACC,"American Campus Communities, Inc.",Real Estate,Equity Real Estate Investment Trusts (REITs)
ACCO,ACCO Brands Corporation,Industrials,Commercial Services & Supplies
ACEL,"Accel Entertainment, Inc.",Consumer Discretionary,"Hotels, Restaurants & Leisure"
ACH,Aluminum Corporation of China Limited,Materials,Metals & Mining
ACI,"Albertsons Companies, Inc.",Consumer Staples,Food & Staples Retailing
ACIC,Atlas Crest Investment Corp.,Financials,Diversified Financial Services
ACIC-UN,Atlas Crest Investment Corp.,Financials,Diversified Financial Services
ACIC-WT,Atlas Crest Investment Corp.,Financials,Diversified Financial Services
ACII,Atlas Crest Investment Corp.,Financials,Diversified Financial Services
ACII-UN,Atlas Crest Investment Corp.,Financials,Diversified Financial Services
ACII-WT,Atlas Crest Investment Corp.,Financials,Diversified Financial Services
ACM,AECOM,Industrials,Construction & Engineering
ACN,Accenture plc,Information Technology,IT Services
ACND,Ascendant Digital Acquisition C,Financials,Diversified Financial Services
ACND-UN,Ascendant Digital Acquisition C,Financials,Diversified Financial Services
ACND-WT,Ascendant Digital Acquisition C,Financials,Diversified Financial Services
ACP,Aberdeen Income Credit Strategies Fund,Financials,Capital Markets
ACR,ACRES Commercial Realty Corp.,Real Estate,Equity Real Estate Investment Trusts (REITs)
ACR-PC,ACRES Commercial Realty Corp.,Real Estate,Equity Real Estate Investment Trusts (REITs)
ACRE,Ares Commercial Real Estate Corporation,Real Estate,Equity Real Estate Investment Trusts (REITs)
ACV,AllianzGI Diversified Income & Convertible Fund,Financials,Capital Markets
ADC,Agree Realty Corporation,Real Estate,Equity Real Estate Investment Trusts (REITs)
ADCT,ADC Therapeutics SA,Health Care,Biotechnology
ADEX,Adit EdTech Acquisition Corp.,Financials,Diversified Financial Services
ADEX-UN,Adit EdTech Acquisition Corp.,Financials,Diversified Financial Services
ADEX-WT,Adit EdTech Acquisition Corp.,Financials,Diversified Financial Services
ADF-UN,Aldel Financial Inc.,Financials,Diversified Financial Services
ADM,Archer-Daniels-Midland Company,Consumer Staples,Household Products
ADNT,Adient plc,Consumer Discretionary,Auto Components
ADS,Alliance Data Systems Corporation,Financials,Consumer Finance
ADT,ADT Inc.,Industrials,Professional Services
ADX,"Adams Diversified Equity Fund, Inc.",Financials,Capital Markets
AEE,Ameren Corporation,Utilities,Electric Utilities
AEF,"Aberdeen Emerging Markets Equity Income Fund, Inc.",Financials,Capital Markets
AEFC,Aegon Funding Company LLC 5.10%,undefined,undefined
AEG,Aegon N.V.,Financials,Insurance
AEL,American Equity Investment Life Holding Company,Financials,Insurance
AEL-PA,American Equity Investment Life Holding Company,Financials,Insurance
AEL-PB,American Equity Investment Life Holding Company,Financials,Insurance
AEM,Agnico Eagle Mines Limited,Materials,Metals & Mining
AENZ,Aenza S.A.A.,Industrials,Construction & Engineering
AEO,"American Eagle Outfitters, Inc.",Consumer Discretionary,"Textiles, Apparel & Luxury Goods"
AER,AerCap Holdings N.V.,Industrials,Air Freight & Logistics
AES,The AES Corporation,Utilities,Multi-Utilities
AESC,The AES Corporation,Utilities,Multi-Utilities
AEVA,"Aeva Technologies, Inc.",Consumer Discretionary,Auto Components
AEVA-WT,"Aeva Technologies, Inc.",Consumer Discretionary,Auto Components
AFB,AllianceBernstein National Municipal Income Fund,Financials,Capital Markets
AFG,"American Financial Group, Inc.",Financials,Insurance
AFGB,"American Financial Group, Inc.",Financials,Insurance
AFGC,"American Financial Group, Inc.",Financials,Insurance
AFGD,"American Financial Group, Inc.",Financials,Insurance
AFGE,"American Financial Group, Inc.",Financials,Insurance
AFI,"Armstrong Flooring, Inc.",Industrials,Building Products
AFL,Aflac Incorporated,Financials,Insurance
AFT,Apollo Senior Floating Rate Fund Inc.,Financials,Capital Markets
AG,First Majestic Silver Corp.,Materials,Metals & Mining
AGAC,African Gold Acquisition Corp,Financials,Diversified Financial Services
AGAC-UN,African Gold Acquisition Corp,Financials,Diversified Financial Services
AGAC-WT,African Gold Acquisition Corp,Financials,Diversified Financial Services
AGCB,Altimeter Growth Corp.,Financials,Diversified Financial Services
AGCO,AGCO Corporation,Industrials,Machinery
AGD,Aberdeen Global Dynamic Dividend Fund,Financials,undefined
AGI,Alamos Gold Inc.,Materials,Metals & Mining
AGL,"agilon health, inc.",Health Care,Health Care Equipment & Supplies
AGM,Federal Agricultural Mortgage Corporation,Financials,Consumer Finance
AGM-A,Federal Agricultural Mortgage Corporation,Financials,Consumer Finance
AGM-PC,Federal Agricultural Mortgage Corporation,Financials,Consumer Finance
AGM-PD,Federal Agricultural Mortgage Corporation,Financials,Consumer Finance
AGM-PE,Federal Agricultural Mortgage Corporation,Financials,Consumer Finance
AGM-PF,Federal Agricultural Mortgage Corporation,Financials,Consumer Finance
AGO,Assured Guaranty Ltd.,Financials,Insurance
AGO-PB,Assured Guaranty Municipal Holdings Inc. QUIBS 6.875%,undefined,undefined
AGO-PE,Assured Guaranty Municipal Holdings Inc. NT 6.25%  2102,undefined,undefined
AGO-PF,Assured Guaranty Municipal Holdings Inc. NT 5.60% 2103,undefined,undefined
AGR,"Avangrid, Inc.",Utilities,Electric Utilities
AGRO,Adecoagro S.A.,Consumer Staples,Household Products
AGS,"PlayAGS, Inc.",Consumer Discretionary,"Hotels, Restaurants & Leisure"
AGTI,"Agiliti, Inc.",Health Care,Health Care Providers & Services
AGX,"Argan, Inc.",Industrials,Construction & Engineering
AHC,A.H. Belo Corporation,Communication Services,Diversified Telecommunication Services
AHH,"Armada Hoffler Properties, Inc.",Real Estate,Equity Real Estate Investment Trusts (REITs)
AHH-PA,"Armada Hoffler Properties, Inc.",Real Estate,Equity Real Estate Investment Trusts (REITs)
AHL-PC,Aspen Insurance Holdings Limited,Financials,Insurance
AHL-PD,Aspen Insurance Holdings Limited,Financials,Insurance
AHL-PE,Aspen Insurance Holdings Limited,Financials,Insurance
AHT,"Ashford Hospitality Trust, Inc.",Real Estate,Equity Real Estate Investment Trusts (REITs)
AHT-PD,"Ashford Hospitality Trust, Inc.",Real Estate,Equity Real Estate Investment Trusts (REITs)
AHT-PF,"Ashford Hospitality Trust, Inc.",Real Estate,Equity Real Estate Investment Trusts (REITs)
AHT-PG,"Ashford Hospitality Trust, Inc.",Real Estate,Equity Real Estate Investment Trusts (REITs)
AHT-PH,"Ashford Hospitality Trust, Inc.",Real Estate,Equity Real Estate Investment Trusts (REITs)
AHT-PI,"Ashford Hospitality Trust, Inc.",Real Estate,Equity Real Estate Investment Trusts (REITs)
