Ticker,Name,Sector,Industry
AAMI,ACADIAN ASSET MANAGEMENT INC,Financials,Capital Markets
AAOI,APPLIED OPTOELECTRONICS INC,Information Technology,Semiconductors & Semiconductor Equipment
AAP,ADVANCE AUTO PARTS INC,Consumer Discretionary,Specialty Retail
AARD,AARDVARK THERAPEUTICS INC,Health Care,Biotechnology
AAT,AMERICAN ASSETS TRUST REIT INC,Real Estate,Equity Real Estate Investment Trusts (REITs)
ABAT,AMERICAN BATTERY TECHNOLOGY COMPAN,Materials,Metals & Mining
ABCB,AMERIS BANCORP,Financials,Banks
ABEO,ABEONA THERAPEUTICS INC,Health Care,Biotechnology
ABG,ASBURY AUTOMOTIVE GROUP INC,Consumer Discretionary,Automobiles
ABM,ABM INDUSTRIES INC,Industrials,Professional Services
ABR,ARBOR REALTY TRUST REIT INC,Financials,Equity Real Estate Investment Trusts (REITs)
ABSI,ABSCI CORP,Health Care,Biotechnology
ABUS,ARBUTUS BIOPHARMA CORP,Health Care,Biotechnology
ABX,ABACUS GLOBAL MANAGEMENT INC CLASS,Financials,Capital Markets
ACA,ARCOSA INC,Industrials,Transportation Infrastructure
ACAD,ACADIA PHARMACEUTICALS INC,Health Care,Biotechnology
ACCO,ACCO BRANDS CORP,Industrials,Commercial Services & Supplies
ACDC,PROFRAC HOLDING CLASS A CORP,Energy,Energy Equipment & Services
ACEL,ACCEL ENTERTAINMENT INC CLASS A,Consumer Discretionary,"Hotels, Restaurants & Leisure"
ACH,ACCENDRA HEALTH INC,Health Care,Metals & Mining
ACHR,ARCHER AVIATION INC CLASS A,Industrials,Aerospace & Defense
ACIC,AMERICAN COASTAL INSURANCE CORP,Financials,Diversified Financial Services
ACIW,ACI WORLDWIDE INC,Information Technology,Software
ACLS,AXCELIS TECHNOLOGIES INC,Information Technology,Semiconductors & Semiconductor Equipment
ACLX,ARCELLX INC,Health Care,Biotechnology
ACMR,ACM RESEARCH CLASS A INC,Information Technology,Semiconductors & Semiconductor Equipment
ACNB,ACNB CORP,Financials,Banks
ACNT,ASCENT INDUSTRIES,Materials,Metals & Mining
ACR,ACRES COMMERCIAL REALTY CORP,Financials,Equity Real Estate Investment Trusts (REITs)
ACRE,ARES COMMERCIAL REAL ESTATE REIT C,Financials,Equity Real Estate Investment Trusts (REITs)
ACRS,ACLARIS THERAPEUTICS INC,Health Care,Biotechnology
ACT,ENACT HOLDINGS INC,Financials,undefined
ACTG,ACACIA RESEARCH CORP,Financials,Professional Services
ACTU,ACTUATE THERAPEUTICS INC,Health Care,Biotechnology
ACU,ACME UNITED CORP,Health Care,Household Products
ACVA,ACV AUCTIONS INC CLASS A,Industrials,Software
ADAM,ADAMAS INC TRUST,Financials,Software
ADCT,ADC THERAPEUTICS SA,Health Care,Biotechnology
ADEA,ADEIA INC,Information Technology,Software
ADMA,ADMA BIOLOGICS INC,Health Care,Biotechnology
ADNT,ADIENT PLC,Consumer Discretionary,Auto Components
ADPT,ADAPTIVE BIOTECHNOLOGIES CORP,Health Care,Biotechnology
ADRO,CHINOOK THERAPEUTICS INC CVR,Health Care,undefined
ADRO,CHINOOK THERAPEUTICS INC,Health Care,undefined
ADTN,ADTRAN HOLDINGS INC,Information Technology,Communications Equipment
ADUS,ADDUS HOMECARE CORP,Health Care,Health Care Equipment & Supplies
ADV,ADVANTAGE SOLUTIONS INC CLASS A,Communication,Diversified Telecommunication Services
AEBI,AEBI SCHMIDT HOLDING AG,Industrials,Automobiles
AEHR,AEHR TEST SYSTEMS,Information Technology,Semiconductors & Semiconductor Equipment
