Ticker,Name,Sector,Industry
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals"
ABBV,AbbVie,Health Care,Biotechnology
ABT,Abbott Laboratories,Health Care,Health Care Equipment
ACN,Accenture,Information Technology,IT Consulting & Other Services
ADBE,Adobe Inc.,Information Technology,Application Software
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment
AMD,Advanced Micro Devices,Information Technology,Semiconductors
AMGN,Amgen,Health Care,Biotechnology
AMT,American Tower,Real Estate,Telecom Tower REITs
AMZN,Amazon,Consumer Discretionary,Broadline Retail
AVGO,Broadcom,Information Technology,Semiconductors
AXP,American Express,Financials,Consumer Finance
BA,Boeing,Industrials,Aerospace & Defense
BAC,Bank of America,Financials,Diversified Banks
BK,BNY Mellon,Financials,Asset Management & Custody Banks
BKNG,Booking Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
BLK,BlackRock,Financials,Asset Management & Custody Banks
BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals
BRK.B,Berkshire Hathaway (Class B),Financials,Multi-Sector Holdings
C,Citigroup,Financials,Diversified Banks
CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment
CL,Colgate-Palmolive,Consumer Staples,Household Products
CMCSA,Comcast,Communication Services,Cable & Satellite
COF,Capital One,Financials,Consumer Finance
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production
COST,Costco,Consumer Staples,Consumer Staples Merchandise Retail
CRM,Salesforce,Information Technology,Application Software
CSCO,Cisco,Information Technology,Communications Equipment
CVS,CVS Health,Health Care,Health Care Services
CVX,Chevron Corporation,Energy,Integrated Oil & Gas
DE,Deere & Company,Industrials,Agricultural & Farm Machinery
DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services
DIS,Walt Disney Company (The),Communication Services,Movies & Entertainment
DUK,Duke Energy,Utilities,Electric Utilities
EMR,Emerson Electric,Industrials,Electrical Components & Equipment
FDX,FedEx,Industrials,Air Freight & Logistics
GD,General Dynamics,Industrials,Aerospace & Defense
GE,GE Aerospace,Industrials,Aerospace & Defense
GEV,GE Vernova,Industrials,Heavy Electrical Equipment
GILD,Gilead Sciences,Health Care,Biotechnology
GM,General Motors,Consumer Discretionary,Automobile Manufacturers
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services
GS,Goldman Sachs,Financials,Investment Banking & Brokerage
HD,Home Depot,Consumer Discretionary,Home Improvement Retail
HON,Honeywell,Industrials,Industrial Conglomerates
