Ticker,Name,Sector,Industry
1COV,Covestro,Chemicals,Chemicals
8TRA,Traton,Industrial Goods and Services,Industrial Goods and Services
AAL,Anglo American plc,Basic Resources,Basic Resources
ABBN,ABB Ltd,Industrial Goods and Services,Industrial Goods and Services
ABF,Associated British Foods,"Food, Beverage and Tobacco","Food, Beverage and Tobacco"
ABI,Anheuser-Busch InBev,"Food, Beverage and Tobacco","Food, Beverage and Tobacco"
ABN,ABN AMRO,Banks,Banks
AC,Accor,Travel and Leisure,Travel and Leisure
ACS,ACS,Construction and Materials,Construction and Materials
ACS,ACS Group,Construction and Materials,Construction and Materials
ACX,Acerinox,Basic Resources,Basic Resources
ADEN,Adecco,Industrial Goods and Services,Industrial Goods and Services
ADH,Adevinta,Consumer Products and Services,Consumer Products and Services
ADM,Admiral Group,Insurance,Insurance
ADS,Adidas,Consumer Products and Services,Consumer Products and Services
ADYEN,Adyen,Industrial Goods and Services,Industrial Goods and Services
AENA,Aena,Travel and Leisure,Travel and Leisure
AF,Air France-KLM,Travel and Leisure,Travel and Leisure
AFX,Carl Zeiss Meditec,Health Care,Health Care
AGS,Ageas,Insurance,Insurance
AHT,Ashtead Group,Industrial Goods and Services,Industrial Goods and Services
AIR,Airbus,Industrial Goods and Services,Industrial Goods and Services
AIRP,Air Liquide,Chemicals,Chemicals
AIXA,AIXTRON,Technology,Technology
AKE,Arkema,Chemicals,Chemicals
AKERBP,Aker BP,Energy,Energy
AKZA,AkzoNobel,Chemicals,Chemicals
ALC,Alcon,Health Care,Health Care
ALFA,Alfa Laval,Industrial Goods and Services,Industrial Goods and Services
ALLFG,Allfunds Group,Financial Services,Financial Services
ALO,Alstom,Industrial Goods and Services,Industrial Goods and Services
ALV,Allianz,Insurance,Insurance
AMBU B,Ambu,Health Care,Health Care
AML,Aston Martin,Automobiles and Parts,Automobiles and Parts
AMS,ams OSRAM,Technology,Technology
ANA,Acciona,Construction and Materials,Construction and Materials
ANE,Acciona Energía,Utilities,Utilities
ANTO,Antofagasta plc,Basic Resources,Basic Resources
ARGX,Argenx,Health Care,Health Care
ARND,Aroundtown,Real Estate,Real Estate
ASMI,ASM International,Technology,Technology
ASML,ASML Holding,Technology,Technology
ASSA B,Assa Abloy,Construction and Materials,Construction and Materials
ATCOa,Atlas Copco,Industrial Goods and Services,Industrial Goods and Services
ATOS,Atos,Technology,Technology
AUTO,Auto Trader Group,Media,Media
AV,Aviva,Insurance,Insurance
AZE,Azelis Group,Industrial Goods and Services,Industrial Goods and Services
AZN,AstraZeneca,Health Care,Health Care
BA,BAE Systems,Industrial Goods and Services,Industrial Goods and Services
BA.,BAE Systems,Industrial Goods and Services,Industrial Goods and Services
BAER,Julius Baer,Banks,Banks
BAER,Julius Baer,Financial Services,Financial Services
BALD B,Balder,Real Estate,Real Estate
BALN,Baloise,Insurance,Insurance
BARC,Barclays,Banks,Banks
BARN,Barry Callebaut,"Food, Beverage and Tobacco","Food, Beverage and Tobacco"
BAS,BASF,Chemicals,Chemicals
BATS,British American Tobacco,"Food, Beverage and Tobacco","Food, Beverage and Tobacco"
BAYN,Bayer,Health Care,Health Care
BBVA,Banco Bilbao Vizcaya Argentaria,Banks,Banks
BBY,Balfour Beatty,Construction and Materials,Construction and Materials
BDEV,Barratt Developments,Consumer Products and Services,Consumer Products and Services
BEB,Belimo,Construction and Materials,Construction and Materials
BEI,Beiersdorf,Consumer Products and Services,Consumer Products and Services
BEZ,Beazley,Insurance,Insurance
BKG,Berkeley Group Holdings,Consumer Products and Services,Consumer Products and Services
BKT,Bankinter,Banks,Banks
BME,B&M European Value Retail,Retail,Retail
BMW,BMW,Automobiles and Parts,Automobiles and Parts
BNPP,BNP Paribas,Banks,Banks
BNR,Brenntag,Chemicals,Chemicals
BNR,Brenntag,Chemicals,Chemicals
BNZL,Bunzl,Industrial Goods and Services,Industrial Goods and Services
BOL,Boliden AB,Basic Resources,Basic Resources
